TANGGAL,QTY,YEAR,MONTH,DAY,DAYOFWEEK,DAYOFYEAR,WEEKOFYEAR,QUARTER,IS_MONTH_START,IS_MONTH_END,MONTH_SIN,MONTH_COS,DOW_SIN,DOW_COS,LAG_1,LAG_2,LAG_3,LAG_7,LAG_14,LAG_28,ROLLING_MEAN_3,ROLLING_STD_3,ROLLING_MEAN_7,ROLLING_STD_7,ROLLING_MEAN_14,ROLLING_STD_14,EXPANDING_MEAN,EXPANDING_STD,KATEGORI_AIR MINERAL,KATEGORI_MINUMAN TEH,KATEGORI_ROKOK,KATEGORI_SUSU,IS_HOLIDAY,DAYS_TO_NEXT_HOLIDAY,DAYS_SINCE_LAST_HOLIDAY,IS_BEFORE_HOLIDAY_3D,IS_AFTER_HOLIDAY_3D,IS_NEAR_HOLIDAY_3D
2024-02-22,231,2024,2,22,3,53,8,1,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,196.0,232.0,354.0,185.0,191.0,291.0,260.6666666666667,82.8090172223613,232.14285714285714,63.82640146373227,254.71428571428572,62.920497542446434,242.97222222222223,70.75813375198281,0,1,0,0,0,18,12,0,0,0
2024-02-23,222,2024,2,23,4,54,8,1,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,231.0,196.0,232.0,242.0,292.0,336.0,219.66666666666666,20.5020324195757,238.71428571428572,60.4420225938717,257.57142857142856,60.672784781867485,242.64864864864865,69.7962177486145,0,1,0,0,0,17,13,0,0,0
2024-02-24,259,2024,2,24,5,55,8,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,222.0,231.0,196.0,159.0,301.0,431.0,216.33333333333334,18.17507450695411,235.85714285714286,60.732826300742765,252.57142857142858,60.50138496280543,242.10526315789474,68.92800375232281,0,1,0,0,0,16,14,0,0,0
2024-02-27,241,2024,2,27,1,58,9,1,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,259.0,222.0,231.0,257.0,355.0,248.0,237.33333333333334,19.295940851208396,250.14285714285714,50.548420916413015,249.57142857142858,58.936359791681255,242.53846153846155,68.06879111521401,0,1,0,0,0,13,17,0,0,0
2024-02-28,265,2024,2,28,2,59,9,1,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,241.0,259.0,222.0,354.0,208.0,169.0,240.66666666666666,18.502252115170545,247.85714285714286,50.54842091641301,241.42857142857142,50.52450172664023,242.5,67.19088766057034,0,1,0,0,0,12,18,0,0,0
2024-03-01,441,2024,3,1,4,61,9,1,1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,265.0,241.0,259.0,232.0,292.0,285.0,255.0,12.489995996796784,235.14285714285714,23.190720640150992,245.5,49.91646868673547,243.0487804878049,66.43867518979896,0,1,0,0,0,10,20,0,0,0
2024-03-02,646,2024,3,2,5,62,9,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,441.0,265.0,241.0,196.0,302.0,236.0,315.6666666666667,109.20317455703076,265.0,80.98765338000605,256.14285714285717,71.71724086551735,247.76190476190476,72.38373672742279,0,1,0,0,0,9,21,0,0,0
2024-03-03,554,2024,3,3,6,63,9,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,646.0,441.0,265.0,231.0,185.0,314.0,450.6666666666667,190.68385703392232,329.2857142857143,158.54832521528394,280.7142857142857,126.58133813811244,257.0232558139535,93.82366651688204,0,1,0,0,0,8,22,0,0,0
2024-03-06,358,2024,3,6,2,66,10,1,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,554.0,646.0,441.0,222.0,242.0,157.0,547.0,102.67911179982028,375.42857142857144,171.63804662026152,307.07142857142856,142.53067917292228,263.77272727272725,102.96891913906873,0,1,0,0,0,5,25,0,0,0
2024-03-07,400,2024,3,7,3,67,10,1,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,358.0,554.0,646.0,259.0,159.0,177.0,519.3333333333334,147.09634031250857,394.85714285714283,158.5764048983209,315.35714285714283,141.82687558203708,265.8666666666667,102.75668525033474,0,1,0,0,0,4,26,0,0,0
